name,shortName,position,jerseyNumber,country,substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,duelLost,duelWon,interceptionWon,penaltyConceded,wasFouled,fouls,savedShotsFromInsideTheBox,saves,minutesPlayed,touches,rating,possessionLostCtrl,aerialLost,aerialWon,outfielderBlock,dispossessed,totalContest,wonContest,bigChanceCreated,blockedScoringAttempt,totalClearance,totalTackle,keyPass,challengeLost,shotOffTarget,onTargetScoringAttempt,totalCross,accurateCross,bigChanceMissed,goalAssist,goals,totalOffside,captain
Ángel De la Cruz,Á. D. l. Cruz,G,12,Peru,False,22.0,9.0,16.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,90.0,33.0,6.6,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Catriel Cabellos,C. Cabellos,M,27,Peru,False,17.0,12.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,84.0,30.0,6.7,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Renzo Garces,R. Garces,D,6,Peru,False,42.0,29.0,10.0,3.0,3.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,90.0,59.0,7.4,14.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Juan Freytes,J. Freytes,D,2,Argentina,False,39.0,25.0,12.0,5.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,90.0,49.0,7.1,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ricardo Lagos,R. Lagos,D,13,Peru,False,24.0,21.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,90.0,41.0,6.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
Kevin Serna,K. Serna,M,26,Colombia,False,21.0,16.0,3.0,1.0,6.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,90.0,41.0,6.6,14.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0
Adrián Arregui,A. Arregui,M,5,Argentina,False,45.0,40.0,2.0,2.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,90.0,51.0,7.2,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastián Rodríguez,S. Rodríguez,M,10,Uruguay,False,41.0,34.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,74.0,50.0,7.1,9.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Gabriel Costa,G. Costa,M,8,Peru,False,38.0,34.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,62.0,57.0,8.1,11.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0
Hernán Barcos,H. Barcos,F,9,Argentina,False,32.0,23.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,40.0,7.4,13.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,True
Cecilio Waterman,C. Waterman,F,30,Panama,False,19.0,17.0,0.0,0.0,3.0,7.0,0.0,0.0,3.0,0.0,0.0,0.0,83.0,35.0,7.5,8.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
Jesús Castillo,J. Castillo,M,15,Peru,True,5.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,9.0,6.6,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aldair Fuentes,A. Fuentes,M,20,Peru,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Zanelatto,F. Zanelatto,M,7,Peru,True,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,6.3,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Axel Moyano,A. Moyano,M,14,Peru,True,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,1.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nicolas Amasifuen,N. Amasifuen,D,4,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Huaman,M. Huaman,D,25,Peru,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
